
[00:00:00.000 --> 00:00:02.240]   - Great, hello everyone.
[00:00:02.240 --> 00:00:07.240]   Welcome to Advanced Computer Graphics, 2023 edition.
[00:00:07.240 --> 00:00:09.040]   My name is Daniel.
[00:00:09.040 --> 00:00:14.520]   I am a PhD student at the Computer Graphics Lab,
[00:00:14.520 --> 00:00:19.060]   and I'm one of the TAs for this class.
[00:00:19.060 --> 00:00:21.920]   The other TAs are out there in the corner watching.
[00:00:21.920 --> 00:00:25.040]   You'll get to know them over the course of the next few months.
[00:00:25.040 --> 00:00:27.620]   (gentle music)
[00:00:28.620 --> 00:00:31.660]   (gentle music)
[00:00:31.660 --> 00:00:34.340]   And it's my pleasure to give you this first
[00:00:34.340 --> 00:00:38.500]   introductory tutorial session.
[00:00:38.500 --> 00:00:43.220]   So what we'll cover is some basic information
[00:00:43.220 --> 00:00:46.900]   about the course, some background about
[00:00:46.900 --> 00:00:50.500]   what we'll be learning, and then an explanation
[00:00:50.500 --> 00:00:55.500]   of the Norry program, which we'll be working with
[00:00:55.580 --> 00:00:59.760]   during this course to implement our path tracing renderers.
[00:00:59.760 --> 00:01:05.620]   Basic info, I think you've all found this room,
[00:01:05.620 --> 00:01:07.780]   so I don't need to repeat this.
[00:01:07.780 --> 00:01:12.940]   Evaluation is an exam at the end of the course,
[00:01:12.940 --> 00:01:17.300]   as well as 50% in the assignments that we do.
[00:01:17.300 --> 00:01:22.220]   The homework counts for 50%, 20 of that will be
[00:01:22.220 --> 00:01:26.740]   the first four exercises, and 30% a final project,
[00:01:26.740 --> 00:01:29.140]   where you have a bit more freedom to choose
[00:01:29.140 --> 00:01:30.900]   features that you want to implement.
[00:01:30.900 --> 00:01:36.420]   In these sessions, we will mainly be doing a Q&A,
[00:01:36.420 --> 00:01:38.340]   where you can ask us questions about things
[00:01:38.340 --> 00:01:41.100]   you don't understand, things that aren't working
[00:01:41.100 --> 00:01:44.600]   with the assignments, and when a new assignment comes out,
[00:01:44.600 --> 00:01:48.580]   we'll also tell you some information about it
[00:01:48.580 --> 00:01:52.100]   that might help you solve it more quickly.
[00:01:53.100 --> 00:01:57.620]   Needless to say, we have a zero tolerance for cheating,
[00:01:57.620 --> 00:02:02.140]   so we have plagiarism detector that will validate
[00:02:02.140 --> 00:02:04.700]   your code against the code of other students,
[00:02:04.700 --> 00:02:06.900]   as well as of previous students,
[00:02:06.900 --> 00:02:10.100]   so just don't copy other people's code.
[00:02:10.100 --> 00:02:16.920]   Rendering competition, questions at the end.
[00:02:16.920 --> 00:02:20.940]   A rendering competition, now this is the
[00:02:21.940 --> 00:02:24.580]   you could say, what do they call it?
[00:02:24.580 --> 00:02:27.500]   The Academy Awards of the Computer Graphics course.
[00:02:27.500 --> 00:02:31.580]   You have complete freedom to choose and design
[00:02:31.580 --> 00:02:35.340]   an image that you will render, and you will render it
[00:02:35.340 --> 00:02:37.460]   with the software that you've created.
[00:02:37.460 --> 00:02:40.900]   There's a theme every year, which we will disclose
[00:02:40.900 --> 00:02:45.340]   to you later, and as mentioned, you'll be able to
[00:02:45.340 --> 00:02:50.260]   decide which features you want for the image that you want.
[00:02:51.260 --> 00:02:54.820]   We'll have judges come from industry,
[00:02:54.820 --> 00:02:56.820]   and we always give very nice prizes,
[00:02:56.820 --> 00:02:59.300]   which I'm very jealous of.
[00:02:59.300 --> 00:03:01.380]   There's no prizes for the best, here is the.
[00:03:01.380 --> 00:03:06.260]   Here's some images that you might have seen
[00:03:06.260 --> 00:03:08.460]   in the lectures already of previous winners.
[00:03:08.460 --> 00:03:11.500]   These are some really wonderful images
[00:03:11.500 --> 00:03:16.260]   that people create every year, and there's always
[00:03:16.260 --> 00:03:18.980]   an aesthetic component, as well as a technical component,
[00:03:18.980 --> 00:03:21.900]   so here you can see the very complex atmosphere
[00:03:21.900 --> 00:03:23.060]   around the planet.
[00:03:23.060 --> 00:03:27.460]   That's probably heterogeneous volume.
[00:03:27.460 --> 00:03:32.180]   Here we have a lovely scene with a typewriter,
[00:03:32.180 --> 00:03:36.740]   with the wood material, this very nice texture.
[00:03:36.740 --> 00:03:40.660]   Here's another winner, where we have this
[00:03:40.660 --> 00:03:44.340]   quite cute looking pumpkin with a cat.
[00:03:47.660 --> 00:03:50.660]   We had a forest theme, so I think this was
[00:03:50.660 --> 00:03:54.500]   the theme of seasons, and the grass here
[00:03:54.500 --> 00:03:55.980]   was procedurally generated.
[00:03:55.980 --> 00:03:58.620]   You can see a lot of complex details in it.
[00:03:58.620 --> 00:04:04.980]   Another year's winner was this quite abstract
[00:04:04.980 --> 00:04:09.980]   imaginative scene, where I think the theme was opposites.
[00:04:09.980 --> 00:04:14.660]   So you can see a piece of land in the sky
[00:04:14.660 --> 00:04:16.260]   where it doesn't really belong.
[00:04:17.180 --> 00:04:19.860]   And the technical aspects of it were
[00:04:19.860 --> 00:04:22.300]   some participating media for the water,
[00:04:22.300 --> 00:04:24.260]   volumetric rendering for the clouds,
[00:04:24.260 --> 00:04:26.820]   as well as a very complex modeling of the trees
[00:04:26.820 --> 00:04:28.220]   and the foliage.
[00:04:28.220 --> 00:04:34.420]   From 2020, we had this very well composed rocket scene.
[00:04:34.420 --> 00:04:36.100]   I mean, this looks fantastic.
[00:04:36.100 --> 00:04:40.100]   And as well as this example of a water splash
[00:04:40.100 --> 00:04:43.980]   in a, inside of a room you'll become very familiar with.
[00:04:45.940 --> 00:04:49.340]   And this was one of the winners because
[00:04:49.340 --> 00:04:52.260]   the implementation that it takes to create these
[00:04:52.260 --> 00:04:56.140]   caustics, these reflections and refractions of light.
[00:04:56.140 --> 00:04:59.100]   Hey, that's not easy.
[00:04:59.100 --> 00:05:03.580]   So you can perform great in the rendering competition
[00:05:03.580 --> 00:05:06.500]   with a mixture of both technical prowess
[00:05:06.500 --> 00:05:09.020]   and artistic skill.
[00:05:09.020 --> 00:05:12.300]   And we look forward to seeing what you do.
[00:05:12.300 --> 00:05:14.540]   Last year's winners, we have here.
[00:05:15.820 --> 00:05:18.820]   With a very imaginative scene.
[00:05:18.820 --> 00:05:21.900]   The theme was, can you remind me again?
[00:05:21.900 --> 00:05:26.860]   Out of place, which amount in a terrarium.
[00:05:26.860 --> 00:05:28.460]   Oh, that fits.
[00:05:28.460 --> 00:05:31.980]   So that's the rendering competition.
[00:05:31.980 --> 00:05:35.420]   This is what we'll be working on
[00:05:35.420 --> 00:05:36.740]   before the rendering competition.
[00:05:36.740 --> 00:05:39.340]   Well, not actually, but it's similar.
[00:05:39.340 --> 00:05:40.940]   And there's the famous Cornell box,
[00:05:40.940 --> 00:05:43.580]   which you're probably familiar with.
[00:05:43.580 --> 00:05:44.980]   There'll be a lot of that.
[00:05:45.980 --> 00:05:48.980]   What you should know already is C++ programming,
