
[00:00:00.000 --> 00:00:02.240]   >> All right.
[00:00:02.240 --> 00:00:05.560]   Can you all hear me?
[00:00:05.560 --> 00:00:08.360]   Good. So let's get started.
[00:00:08.360 --> 00:00:11.360]   My name is Rajesh Sharma.
[00:00:11.360 --> 00:00:16.480]   I'm a PhD student at ETH and at Disney Research.
[00:00:16.480 --> 00:00:21.360]   And I'll be teaching you this appearance modeling
[00:00:21.360 --> 00:00:24.320]   and microfacer theory lecture.
[00:00:24.320 --> 00:00:26.600]   So let's just get started.
[00:00:26.600 --> 00:00:28.600]   Where we are right now.
[00:00:28.600 --> 00:00:33.680]   Last time we talked a little bit about lights and materials.
[00:00:33.680 --> 00:00:37.840]   And today we're going to cover two topics.
[00:00:37.840 --> 00:00:40.320]   Materials and microfaceted models.
[00:00:40.320 --> 00:00:42.840]   So let's see what that entails.
[00:00:42.840 --> 00:00:46.200]   So materials are essentially part of your scene representation
[00:00:46.200 --> 00:00:47.520]   or scene description.
[00:00:47.520 --> 00:00:51.920]   Where you describe your scene with geometry, lights, cameras,
[00:00:51.920 --> 00:00:53.760]   and also materials.
[00:00:53.760 --> 00:00:57.560]   And we'll cover that in detail today.
[00:00:57.560 --> 00:01:01.080]   And specifically we'll be covering a bunch of topics.
[00:01:01.080 --> 00:01:02.840]   We'll start with what materials are,
[00:01:02.840 --> 00:01:06.920]   how to represent them with a BRDF or bi-directional
[00:01:06.920 --> 00:01:08.920]   reflectance distribution function.
[00:01:08.920 --> 00:01:11.160]   We'll go over some simple materials
[00:01:11.160 --> 00:01:13.760]   and then get into some complexity
[00:01:13.760 --> 00:01:16.560]   with the physically based models as well.
[00:01:16.560 --> 00:01:18.480]   Particularly the microfaceted model.
[00:01:18.480 --> 00:01:23.240]   And this will be formed the core of your material model
[00:01:23.240 --> 00:01:25.560]   that you will be using in your assignments.
[00:01:25.560 --> 00:01:27.640]   So I'll spend more time on the microfaceted model
[00:01:27.640 --> 00:01:31.040]   and we'll quickly go over different other models
