
[00:00:00.000 --> 00:00:02.120]   (gentle music)
[00:00:02.120 --> 00:00:04.640]   - All right, hello, good morning everyone.
[00:00:04.640 --> 00:00:07.920]   Welcome to today's computer graphics lecture.
[00:00:07.920 --> 00:00:13.280]   It's a pleasure for me to be teaching this topic today,
[00:00:13.280 --> 00:00:14.720]   Monte Carlo integration.
[00:00:14.720 --> 00:00:16.160]   My name is Zhang Xinyao.
[00:00:16.160 --> 00:00:20.600]   I'm a PhD student at the computer graphics lab
[00:00:20.600 --> 00:00:22.920]   and the DC research studios.
[00:00:22.920 --> 00:00:24.400]   So if I'm not mistaken,
[00:00:24.400 --> 00:00:26.480]   I'm like the fourth lecturer of the semester.
[00:00:26.480 --> 00:00:30.920]   But yeah, it's overall my first experience
[00:00:30.920 --> 00:00:33.560]   to give a proper lecture as they call it.
[00:00:33.560 --> 00:00:34.840]   So I'll try my best.
[00:00:34.840 --> 00:00:39.300]   And yeah, honestly, it's a bit of pressure for me as well
[00:00:39.300 --> 00:00:42.840]   because this is one of the most important topics
[00:00:42.840 --> 00:00:44.460]   of the entire course.
[00:00:44.460 --> 00:00:49.460]   So today we'll be covering quite some mathematical things,
[00:00:49.460 --> 00:00:53.920]   like how to compute integrals with sampling
[00:00:53.920 --> 00:00:56.320]   and how to do sampling actually.
[00:00:56.320 --> 00:01:00.680]   And this will be the foundation or basis
[00:01:00.680 --> 00:01:04.640]   of the rendering algorithms that we will be using
[00:01:04.640 --> 00:01:08.440]   or developing in this semester.
[00:01:08.440 --> 00:01:11.360]   So particularly we will release the second
[00:01:11.360 --> 00:01:14.280]   programming assignment today in the exercise session,
[00:01:14.280 --> 00:01:19.280]   which will be basically based on what we will learn today.
[00:01:19.280 --> 00:01:22.400]   In terms of the course roadmap,
[00:01:22.400 --> 00:01:26.000]   we've done the first row
[00:01:26.000 --> 00:01:27.520]   and we're at this turn right now.
[00:01:27.520 --> 00:01:31.000]   So on Tuesday, I think we covered light materials
[00:01:31.000 --> 00:01:32.640]   and microfacets.
[00:01:32.640 --> 00:01:37.080]   And now we are going to dive into Monte Carlo integration.
[00:01:37.080 --> 00:01:41.080]   So the Monte Carlo integration methods
[00:01:41.080 --> 00:01:44.160]   are part of the image synthesis techniques
[00:01:44.160 --> 00:01:45.720]   that will be covered in this course,
[00:01:45.720 --> 00:01:49.520]   particularly how we simulate light transport.
[00:01:49.520 --> 00:01:51.980]   So later on we will learn about path tracing,
[00:01:51.980 --> 00:01:55.960]   photo mapping and how to compute volumetric
[00:01:55.960 --> 00:01:59.640]   effects and those are almost all based on
[00:01:59.640 --> 00:02:02.480]   the theory that we will learn today.
[00:02:02.480 --> 00:02:06.080]   So we will first give a review,
[00:02:06.080 --> 00:02:08.600]   a quick, very quick, not rigorous at all review
[00:02:08.600 --> 00:02:10.680]   of the probability theory.
[00:02:10.680 --> 00:02:14.720]   And then just introduce the concept
[00:02:14.720 --> 00:02:18.040]   and some simple examples of Monte Carlo integration.
[00:02:18.040 --> 00:02:21.920]   And then we go more into details
[00:02:21.920 --> 00:02:24.340]   of how to do some particular random sampling
[00:02:24.340 --> 00:02:29.340]   and also use that to illustrate the general recipe
[00:02:29.340 --> 00:02:33.820]   of the sampling techniques in rendering.
[00:02:33.820 --> 00:02:38.500]   Okay, so let's start with a bit of fun.
[00:02:38.500 --> 00:02:42.300]   So Monte Carlo is somewhere nearby.
[00:02:42.300 --> 00:02:43.540]   I don't know exactly where it is,
[00:02:43.540 --> 00:02:46.400]   but it's supposed to be in Monaco.
[00:02:46.400 --> 00:02:51.400]   And a Monte Carlo algorithm is a randomized algorithm
[00:02:51.400 --> 00:02:54.320]   with a deterministic running time
[00:02:54.320 --> 00:02:58.540]   but a random or a stochastic output.
[00:02:58.540 --> 00:03:03.340]   So there is, so you can get incorrect answers,
[00:03:03.340 --> 00:03:06.460]   but there should be some, maybe some bounds
[00:03:06.460 --> 00:03:11.460]   on the probability of like the chances
[00:03:11.460 --> 00:03:15.380]   the output is incorrect or like the distance
[00:03:15.380 --> 00:03:18.220]   from the correct answer.
[00:03:18.220 --> 00:03:22.140]   And basically it uses random numbers
[00:03:22.140 --> 00:03:23.680]   to solve numerical problems
[00:03:23.680 --> 00:03:27.860]   and it is seen as early use during the development
[00:03:27.860 --> 00:03:31.100]   of the atomic bomb in the Manhattan Project
[00:03:31.100 --> 00:03:36.100]   and its development was, I think, advanced by von Neumann,
[00:03:36.100 --> 00:03:39.420]   Ulam Metropolis and their colleagues.
[00:03:39.420 --> 00:03:42.260]   So the name Monte Carlo was first introduced
[00:03:42.260 --> 00:03:46.260]   in a paper by Metropolis and Ulam in 1949.
[00:03:46.260 --> 00:03:53.540]   Yeah, and of course it's named after the casino in Monte Carlo.
[00:03:53.540 --> 00:03:57.960]   And so as a duo for the Monte Carlo algorithms,
[00:03:57.960 --> 00:04:00.200]   there is also another type of random algorithms
[00:04:00.200 --> 00:04:03.320]   called the Las Vegas algorithms.
[00:04:03.320 --> 00:04:05.520]   Yeah, not sure where that comes from,
[00:04:05.520 --> 00:04:08.240]   but sounds fun, doesn't it?
[00:04:08.240 --> 00:04:13.240]   And so the difference between these two type of algorithms,
[00:04:13.240 --> 00:04:15.320]   as we've talked about before,
[00:04:15.320 --> 00:04:18.600]   Monte Carlo algorithms give stochastic output
[00:04:18.600 --> 00:04:22.200]   with a fixed run time and Las Vegas algorithms
[00:04:22.200 --> 00:04:24.300]   are the other way around.
[00:04:24.300 --> 00:04:28.100]   It always gives the correct result
[00:04:28.100 --> 00:04:33.100]   but takes a randomized amount of time for execution.
[00:04:33.100 --> 00:04:37.820]   So if we just say this, it might not be so clear
[00:04:37.820 --> 00:04:40.220]   of an example of the Las Vegas algorithm,
[00:04:40.220 --> 00:04:42.500]   but if I mention sorting,
[00:04:42.500 --> 00:04:46.140]   then you probably, something will come to mind
[00:04:46.140 --> 00:04:50.060]   because as in the quicksort algorithm,
[00:04:50.060 --> 00:04:51.780]   which is prevalent today,
[00:04:51.780 --> 00:04:54.640]   the choice of the pivot items
[00:04:54.640 --> 00:04:58.980]   is one typical example of Las Vegas algorithms.
[00:04:58.980 --> 00:05:03.100]   So of course those are the differences
[00:05:03.100 --> 00:05:07.880]   besides the difference in the number of zeros on the roulette.
[00:05:07.880 --> 00:05:11.140]   And we can say that Monte Carlo algorithms
[00:05:11.140 --> 00:05:15.240]   gambles with the result, not with the run time,
[00:05:15.240 --> 00:05:18.560]   but Las Vegas algorithms gambles with the run time
[00:05:18.560 --> 00:05:21.060]   but always gives correct result.
[00:05:21.060 --> 00:05:29.220]   So if we are talking about integration in particular,
[00:05:29.220 --> 00:05:32.900]   the Monte Carlo methods are flexible
[00:05:32.900 --> 00:05:35.860]   and easy to implement because one only needs
[00:05:35.860 --> 00:05:37.420]   to be able to implement,
[00:05:37.420 --> 00:05:41.240]   no, to evaluate the function to be integrated.
[00:05:41.240 --> 00:05:43.560]   So you don't need to actually compute
[00:05:43.560 --> 00:05:45.380]   more complex functions.
[00:05:46.320 --> 00:05:49.240]   And it can easily handle complex integrants
[00:05:49.240 --> 00:05:54.240]   by randomly sampling some points within the domain.
[00:05:54.240 --> 00:05:57.840]   And it is also efficient for high dimensional integrants
[00:05:57.840 --> 00:06:00.420]   because the number of samples you can draw
[00:06:00.420 --> 00:06:02.860]   is independent of actually the dimensionality
[00:06:02.860 --> 00:06:05.140]   of the integrant, which is one of,
[00:06:05.140 --> 00:06:10.140]   I think the decisive factors that's why we would use
[00:06:10.140 --> 00:06:12.320]   Monte Carlo integration for path tracing
[00:06:12.320 --> 00:06:14.820]   because it is essentially,
[00:06:14.820 --> 00:06:16.760]   if you consider global illumination,
[00:06:16.760 --> 00:06:21.760]   if you want to simulate arbitrary number of bounces
[00:06:21.760 --> 00:06:24.400]   of light transport in the scene,
[00:06:24.400 --> 00:06:27.260]   it is of infinite dimensions.
[00:06:27.260 --> 00:06:31.240]   On the other side, on the other hand,
[00:06:31.240 --> 00:06:33.320]   as we mentioned before,
[00:06:33.320 --> 00:06:37.200]   Monte Carlo methods gives not always the correct results.
[00:06:37.200 --> 00:06:41.280]   So the result will show up as some,
[00:06:41.280 --> 00:06:44.560]   it would have some variance for the integration methods.
[00:06:44.560 --> 00:06:46.300]   So if we're rendering an image,
[00:06:46.300 --> 00:06:48.620]   we'll see some noise on it.
[00:06:48.620 --> 00:06:50.900]   And if we want to reduce that noise,
[00:06:50.900 --> 00:06:54.740]   we need to basically run the algorithm longer.
[00:06:54.740 --> 00:06:59.740]   But there the problem is that it has a slower,
[00:06:59.740 --> 00:07:02.020]   it has a relatively slow convergence,
[00:07:02.020 --> 00:07:06.060]   which is on the rate of one over the square root of n.
[00:07:06.060 --> 00:07:11.300]   That is if we compare that to some classic
[00:07:11.300 --> 00:07:13.740]   quadrature methods like for integration.
[00:07:14.180 --> 00:07:19.180]   So to do Monte Carlo integration,
[00:07:19.180 --> 00:07:21.020]   to create the randomness,
[00:07:21.020 --> 00:07:22.700]   we need random variables.
[00:07:22.700 --> 00:07:26.240]   And we denote that by like capital letters such as x.
[00:07:26.240 --> 00:07:30.380]   And without, if it's not particularly mentioned,
[00:07:30.380 --> 00:07:33.380]   the axis assumed to be continuous.
[00:07:33.380 --> 00:07:39.580]   And we can also, we can then define this cumulative
[00:07:40.980 --> 00:07:45.300]   distribution function or shorthand with CDF.
[00:07:45.300 --> 00:07:49.260]   That is the probability of this random variable
