
[00:00:00.000 --> 00:00:02.000]   Hello.
[00:00:02.000 --> 00:00:06.000]   Okay, let's get started.
[00:00:06.000 --> 00:00:11.000]   My name is Argon and I'm presenting today or introducing today assignment three.
[00:00:11.000 --> 00:00:15.000]   Before I do that, let me remind you that the deadline for assignment two is today.
[00:00:15.000 --> 00:00:20.000]   So after this short presentation, you will have the chance to come again to us
[00:00:20.000 --> 00:00:26.000]   and ask for any remaining issues that you might have.
[00:00:26.000 --> 00:00:28.000]   Okay.
[00:00:28.000 --> 00:00:33.000]   So for the next assignment, you are going to look into Monte Carlo ray tracing
[00:00:33.000 --> 00:00:37.000]   and more specifically you are going to implement direct illumination.
[00:00:37.000 --> 00:00:43.000]   And for this, you are going to implement an area emitter and different integrators
[00:00:43.000 --> 00:00:45.000]   that use different sampling strategies.
[00:00:45.000 --> 00:00:50.000]   So the emitter sampling, the BSDF sampling, and then a combination between the both
[00:00:50.000 --> 00:00:54.000]   and be a multiple important sampling.
[00:00:54.000 --> 00:00:59.000]   And the last thing for this assignment, you are going to implement a micro facet BRDF
[00:00:59.000 --> 00:01:05.000]   which allows you to have kind of rough materials in your scenes.
[00:01:05.000 --> 00:01:11.000]   So this introduction is kind of, or this lecture here is kind of,
[00:01:11.000 --> 00:01:15.000]   is meant to be an exercise session, right?
[00:01:15.000 --> 00:01:20.000]   So you have the chance to ask me about anything that is maybe unclear in the lecture.
[00:01:20.000 --> 00:01:27.000]   So those slides are going over the most important parts of the lecture for this assignment.
[00:01:27.000 --> 00:01:33.000]   So the lecture introduced you to this concept of direct and indirect illumination
[00:01:33.000 --> 00:01:39.000]   where direct illumination is the light that directly comes from an emitter to a point of interest
[00:01:39.000 --> 00:01:44.000]   and indirect illumination is every other path basically that light can make
[00:01:44.000 --> 00:01:50.000]   and so multiple bounces in a scene before it actually reaches the point of interest.
[00:01:50.000 --> 00:01:56.000]   So for this assignment, we are only going to look at direct illumination
[00:01:56.000 --> 00:02:01.000]   and in the next assignment, you are going to implement global illumination
[00:02:01.000 --> 00:02:06.000]   where you have to take care of those other paths.
[00:02:06.000 --> 00:02:10.000]   So to render an image, we need the rendering equation
[00:02:10.000 --> 00:02:16.000]   and in the case of direct illumination, you can make some slight simplification of this equation.
[00:02:16.000 --> 00:02:21.000]   For example, you have to ask yourself, if you look at one point, where is light coming from?
[00:02:21.000 --> 00:02:24.000]   And so there are two main, two sources basically.
[00:02:24.000 --> 00:02:29.000]   One is the point itself is emitting light, which is this first component of the term.
[00:02:29.000 --> 00:02:35.000]   But let's assume the point we are looking at is not an emitter.
[00:02:35.000 --> 00:02:42.000]   Then the only other source of light can only come from an emitter, right?
[00:02:42.000 --> 00:02:47.000]   So we can reformulate the reflection equation in this case without the emitter term
[00:02:47.000 --> 00:02:54.000]   as kind of the incident light at the position x
[00:02:54.000 --> 00:02:58.000]   that can come from a specific direction omega i
[00:02:58.000 --> 00:03:04.000]   has to be emitted at the closest intersection from x towards this direction
[00:03:04.000 --> 00:03:07.000]   and this kind of emitted towards us, right?
[00:03:07.000 --> 00:03:11.000]   So this is what that means.
[00:03:11.000 --> 00:03:18.000]   And so we basically have this formulation and this is what you are going to implement in the assignment.
[00:03:18.000 --> 00:03:21.000]   Any questions so far?
[00:03:21.000 --> 00:03:25.000]   Do you all understand this simplification?
[00:03:25.000 --> 00:03:27.000]   Okay.
[00:03:27.000 --> 00:03:32.000]   So the question now is how to kind of compute this integral, right?
[00:03:32.000 --> 00:03:35.000]   And for that you are going to use Monte Carlo estimations,
[00:03:35.000 --> 00:03:41.000]   which basically means that, so you cannot solve this integral in a closed-form solution,
[00:03:41.000 --> 00:03:44.000]   so you are going to sample over the domain of the integral.
[00:03:44.000 --> 00:03:48.000]   In this case, you are going to sample different directions
[00:03:48.000 --> 00:03:53.000]   and then evaluate the reflection equation
[00:03:53.000 --> 00:03:58.000]   and kind of do this weighted sum over those samples.
[00:03:58.000 --> 00:04:05.000]   And you are going to weight according to the probability of sampling a specific direction.
[00:04:05.000 --> 00:04:09.000]   So if the probability is very likely to sample in this one direction,
