
[00:00:00.000 --> 00:00:04.500]   Also herzlich willkommen zu dieser Einführung in die Programmierung.
[00:00:04.500 --> 00:00:10.500]   Ich bin Thomas Groß und ich gebe diese Vorlesung. Aber natürlich machen wir hier mehr als nur Vorlesung.
[00:00:10.500 --> 00:00:15.000]   Wie Sie wissen, haben wir hier im Hörsaal eine Präsenzvorlesung.
[00:00:15.000 --> 00:00:19.000]   Und wenn ich schon da bin, dann können Sie mich auch Fragen stellen.
[00:00:19.000 --> 00:00:25.000]   Wie ich das mache, sage ich Ihnen gleich. Aber wir übertragen das auch in den MLE 12.
[00:00:25.000 --> 00:00:31.000]   Das ist natürlich nicht das, was wir wollen.
[00:00:31.000 --> 00:00:37.000]   Also, falls Sie meinen Namen noch nicht gesehen haben sollten.
[00:00:37.000 --> 00:00:41.000]   Also, wir machen eine Präsenzvorlesung.
[00:00:41.000 --> 00:00:44.000]   Und wenn ich schon da bin, können Sie gerne Fragen stellen.
[00:00:44.000 --> 00:00:47.000]   Wir übertragen es auch in den MLE 12.
[00:00:47.000 --> 00:00:51.000]   Und für diejenigen, die hier nicht an der ETH sein können im Livestream.
[00:00:51.000 --> 00:00:56.000]   Insbesondere, wenn Sie in diesen Remoteräumen sind und Sie Probleme haben,
[00:00:56.000 --> 00:00:59.000]   dann bitte ich Sie, sich da unbedingt zu melden.
[00:00:59.000 --> 00:01:03.000]   Weil sonst wissen wir nicht, dass irgendwas schiefläuft.
[00:01:03.000 --> 00:01:06.000]   Also, wenn das schiefläuft, dann melden Sie sich sofort.
[00:01:06.000 --> 00:01:09.000]   Danke, wenn mir jemand sagt, dass irgendwas nicht funktioniert.
[00:01:09.000 --> 00:01:12.000]   Und außerdem zeichnen wir die Vorlesung auf.
[00:01:12.000 --> 00:01:18.000]   Und Sie können Sie dann ein oder zwei Tage später, manchmal auch früher, im ETH-Video-Portal machen.
[00:01:18.000 --> 00:01:22.000]   Wir machen das vor allen Dingen, damit auch die Leute, die nicht in den Hörsack können,
[00:01:22.000 --> 00:01:26.000]   die Gelegenheit haben, zu sehen, was wir da machen.
[00:01:26.000 --> 00:01:28.000]   So, und wie können Sie mir Fragen stellen?
[00:01:28.000 --> 00:01:31.000]   Da gibt es die Edo App und da gibt es ein Course Channel.
[00:01:31.000 --> 00:01:34.000]   Und da erlauben wir auch anonyme Postings.
[00:01:34.000 --> 00:01:36.000]   Also, wenn Sie eine Frage haben und Sie wollen nicht,
[00:01:36.000 --> 00:01:39.000]   dass alle anderen sehen, dass Sie die Frage gestellt haben,
[00:01:39.000 --> 00:01:41.000]   dann können Sie die da stellen.
[00:01:41.000 --> 00:01:44.000]   Ich bemühe mich, die während der Vorlesung anzugucken
[00:01:44.000 --> 00:01:46.000]   und versuche dann darauf einzugehen.
[00:01:46.000 --> 00:01:49.000]   Und Sie brauchen keine Angst haben. Es gibt keine dummen Fragen.
[00:01:49.000 --> 00:01:52.000]   Wenn Sie meinen, achte, vielleicht eine dumme Frage,
[00:01:52.000 --> 00:01:54.000]   dann gibt es wahrscheinlich zehn Leute im Hörsaal
[00:01:54.000 --> 00:01:57.000]   oder in der Vorlesung, die die Antwort auch gerne hätten.
[00:01:57.000 --> 00:01:59.000]   Und wenn Sie eine kluge Frage haben,
[00:01:59.000 --> 00:02:02.000]   weil Sie kennen schon eine XY-Programmiersprache
[00:02:02.000 --> 00:02:05.000]   und wollten wissen, wie es da geht, Pech gehabt.
[00:02:05.000 --> 00:02:07.000]   Das interessiert uns hier nicht so sehr.
[00:02:07.000 --> 00:02:10.000]   Also, die Fragen können Sie dann per E-Mail schicken oder so.
[00:02:10.000 --> 00:02:15.000]   Aber die einfachen Fragen, die sehen wir gerne hier im Verlauf der Vorlesung.
[00:02:15.000 --> 00:02:20.000]   So, jetzt zum Thema Weiterweil hier.
[00:02:20.000 --> 00:02:22.000]   Der Hörsaal doch relativ voll ist.
[00:02:22.000 --> 00:02:25.000]   Bitte ich Sie, keine persönlichen Gespräche zu führen.
[00:02:25.000 --> 00:02:28.000]   Weil da ist da noch mehr Lärm.
[00:02:28.000 --> 00:02:31.000]   Und das macht es schwieriger für uns alle zu sehen,
[00:02:31.000 --> 00:02:33.000]   um was es dabei geht.
[00:02:33.000 --> 00:02:35.000]   Sie haben vielleicht schon herausgefunden,
[00:02:35.000 --> 00:02:37.000]   dass wir eine Webseite haben,
[00:02:37.000 --> 00:02:39.000]   auf der wir so ziemlich viele Informationen
[00:02:39.000 --> 00:02:41.000]   über die Vorlesung bekannt geben.
[00:02:41.000 --> 00:02:43.000]   Das ist die Webseite.
[00:02:43.000 --> 00:02:45.000]   Das ist ein Anwesenheitspflicht.
[00:02:45.000 --> 00:02:47.000]   Das ist ein Anwesenheitspflicht.
[00:02:47.000 --> 00:02:49.000]   Das ist ein Anwesenheitspflicht.
[00:02:49.000 --> 00:02:51.000]   Das ist ein Anwesenheitspflicht.
[00:02:51.000 --> 00:02:53.000]   Das ist ein Anwesenheitspflicht.
[00:02:53.000 --> 00:02:55.000]   Das ist ein Anwesenheitspflicht.
[00:02:55.000 --> 00:02:57.000]   Das ist ein Anwesenheitspflicht.
[00:02:57.000 --> 00:02:59.000]   Das ist ein Anwesenheitspflicht.
[00:02:59.000 --> 00:03:01.000]   Das ist ein Anwesenheitspflicht.
[00:03:01.000 --> 00:03:03.000]   Das ist ein Anwesenheitspflicht.
[00:03:03.000 --> 00:03:05.000]   Das ist ein Anwesenheitspflicht.
[00:03:05.000 --> 00:03:07.000]   Das ist ein Anwesenheitspflicht.
[00:03:07.000 --> 00:03:09.000]   Das ist ein Anwesenheitspflicht.
[00:03:09.000 --> 00:03:11.000]   Das ist ein Anwesenheitspflicht.
[00:03:11.000 --> 00:03:13.000]   Das ist ein Anwesenheitspflicht.
[00:03:13.000 --> 00:03:15.000]   Das ist ein Anwesenheitspflicht.
[00:03:15.000 --> 00:03:17.000]   Das ist ein Anwesenheitspflicht.
[00:03:17.000 --> 00:03:19.000]   Das ist ein Anwesenheitspflicht.
[00:03:19.000 --> 00:03:21.000]   Das ist ein Anwesenheitspflicht.
[00:03:21.000 --> 00:03:23.000]   Das ist ein Anwesenheitspflicht.
[00:03:23.000 --> 00:03:25.000]   Das ist ein Anwesenheitspflicht.
[00:03:25.000 --> 00:03:27.000]   Das ist ein Anwesenheitspflicht.
[00:03:27.000 --> 00:03:29.000]   Das ist ein Anwesenheitspflicht.
[00:03:29.000 --> 00:03:31.000]   Das ist ein Anwesenheitspflicht.
[00:03:31.000 --> 00:03:33.000]   Das ist ein Anwesenheitspflicht.
[00:03:33.000 --> 00:03:35.000]   Das ist ein Anwesenheitspflicht.
[00:03:35.000 --> 00:03:37.000]   Das ist ein Anwesenheitspflicht.
[00:03:37.000 --> 00:03:39.000]   Das ist ein Anwesenheitspflicht.
[00:03:39.000 --> 00:03:41.000]   Das ist ein Anwesenheitspflicht.
[00:03:41.000 --> 00:03:43.000]   Das ist ein Anwesenheitspflicht.
[00:03:43.000 --> 00:03:45.000]   Das ist ein Anwesenheitspflicht.
[00:03:45.000 --> 00:03:47.000]   Das ist ein Anwesenheitspflicht.
