
[00:00:00.000 --> 00:00:02.760]   Okay, good morning everyone.
[00:00:02.760 --> 00:00:05.200]   So I guess it's also probably
[00:00:05.200 --> 00:00:08.320]   the first lecture of the semester or second already, first.
[00:00:08.320 --> 00:00:11.480]   Okay. So for me also.
[00:00:11.480 --> 00:00:17.400]   So today, so this is Visual Computing.
[00:00:17.400 --> 00:00:21.040]   I'm Mike Polofes and I will teach
[00:00:21.040 --> 00:00:23.480]   the first part of this lecture,
[00:00:23.480 --> 00:00:26.960]   which is mostly so Visual Computing consists both
[00:00:26.960 --> 00:00:31.120]   of processing images.
[00:00:31.120 --> 00:00:32.400]   So your given images,
[00:00:32.400 --> 00:00:35.800]   you will look at how to analyze and process them,
[00:00:35.800 --> 00:00:39.720]   then we'll also look at how to computationally generate images.
[00:00:39.720 --> 00:00:42.000]   So in some sense, image processing,
[00:00:42.000 --> 00:00:44.880]   image analysis, computer vision, on one hand,
[00:00:44.880 --> 00:00:46.120]   that's the part I'll be covering,
[00:00:46.120 --> 00:00:47.960]   that's the first half of the semester.
[00:00:47.960 --> 00:00:50.600]   Then second half, it's more going to be
[00:00:50.600 --> 00:00:52.760]   focused very complementary aspect,
[00:00:52.760 --> 00:00:54.520]   which is then computer graphics,
[00:00:54.520 --> 00:00:57.720]   generating images from models.
[00:00:57.720 --> 00:01:00.360]   And that will be by,
[00:01:00.360 --> 00:01:02.320]   taught by Marcus Kroes,
[00:01:02.320 --> 00:01:05.200]   I think I type for there.
[00:01:05.200 --> 00:01:09.280]   Also for the assistants,
[00:01:09.280 --> 00:01:11.560]   there will be for each part,
[00:01:11.560 --> 00:01:13.840]   a main assistant responsible.
[00:01:13.840 --> 00:01:19.880]   So Philip Lindenberger will be in charge of the first half of the semester.
[00:01:19.880 --> 00:01:22.480]   There will be of course other assistants also,
[00:01:22.480 --> 00:01:26.600]   but he can be your point of contact if you have any questions or things like that.
[00:01:26.600 --> 00:01:28.600]   And then for the,
[00:01:28.600 --> 00:01:31.200]   oh sorry, there's a mistake here.
[00:01:31.200 --> 00:01:33.360]   For the second part,
[00:01:33.360 --> 00:01:35.560]   the part taught by Marcus Kroes,
[00:01:35.560 --> 00:01:38.640]   it will be RFL,
[00:01:38.640 --> 00:01:48.960]   The topics of the lecture in the first part,
[00:01:48.960 --> 00:01:53.600]   we'll essentially start by looking at what are images,
[00:01:53.600 --> 00:01:56.320]   what are digital images in particular,
[00:01:56.320 --> 00:01:58.760]   how do we represent images,
[00:01:58.760 --> 00:02:01.880]   how do we represent them in a digital form,
[00:02:01.880 --> 00:02:07.160]   both geometrically as a grid of numbers,
[00:02:07.160 --> 00:02:09.440]   numbers indicating,
[00:02:09.440 --> 00:02:13.480]   reflecting a particular physical property that's captured in the image.
[00:02:13.480 --> 00:02:17.800]   The image in the end is from a particular point of view,
[00:02:17.800 --> 00:02:21.080]   an impression of how much light comes from,
[00:02:21.080 --> 00:02:23.200]   gets reflected typically from light source,
[00:02:23.200 --> 00:02:26.280]   gets reflected by the scene and comes to us
[00:02:26.280 --> 00:02:28.480]   from every direction a different amount of light,
[00:02:28.480 --> 00:02:32.680]   that's at some level what is an image.
[00:02:32.680 --> 00:02:35.760]   So we look at how to represent that digitally.
[00:02:35.760 --> 00:02:39.680]   Also we'll talk a little bit about what are the sensors,
[00:02:39.680 --> 00:02:44.560]   what is the underlying technology that allows us to build up images
[00:02:44.560 --> 00:02:46.960]   in a way that we can recognize those images then later
[00:02:46.960 --> 00:02:50.200]   when we show them on a display,
[00:02:50.200 --> 00:02:52.600]   so that they essentially mimic in a sense
[00:02:52.600 --> 00:02:59.120]   the processes that we perceive the world with our eyes,
[00:02:59.120 --> 00:03:02.680]   and what is the technology that allows us to mimic that process
[00:03:02.680 --> 00:03:04.960]   in a certain way,
[00:03:04.960 --> 00:03:10.960]   although then in practice it works quite differently from our eyes,
[00:03:10.960 --> 00:03:13.920]   but it's a process that works well and is adapted
[00:03:13.920 --> 00:03:17.160]   to digital manipulation, digital processing,
[00:03:17.160 --> 00:03:20.440]   and also just to afterwards render on a digital screen
[00:03:20.440 --> 00:03:23.800]   like this one or this one.
[00:03:23.800 --> 00:03:26.840]   Okay, then we'll talk about,
[00:03:26.840 --> 00:03:32.440]   we'll look a little bit at some processes that we can do on images,
[00:03:32.440 --> 00:03:36.520]   we'll look at a very simple problem of segmentation,
[00:03:36.520 --> 00:03:40.120]   there can be very complicated problems in segmentation,
[00:03:40.120 --> 00:03:46.320]   but segmentation essentially somehow separating the images in two parts.
[00:03:46.320 --> 00:03:49.320]   Let's say in the simplest or conceptually the simplest way to explain it,
[00:03:49.320 --> 00:03:52.520]   there's a part of the image that interests us that we care about
[00:03:52.520 --> 00:03:54.720]   and then there's a part that we don't care about.
[00:03:54.720 --> 00:03:58.520]   You could call it foreground and background,
[00:03:58.520 --> 00:04:04.720]   if you have, for example, when people present the weather,
[00:04:04.720 --> 00:04:07.360]   they are waving at a screen,
[00:04:07.360 --> 00:04:09.520]   these days it's mostly a digital screen behind them
[00:04:09.520 --> 00:04:11.320]   because in the meanwhile people have figured out
[00:04:11.320 --> 00:04:14.520]   how to properly align a digital screen and cameras
[00:04:14.520 --> 00:04:17.320]   and have all of those things work properly together.
[00:04:17.320 --> 00:04:20.120]   There was actually a time where these things didn't work so well together
[00:04:20.120 --> 00:04:22.920]   and so they had to, in post-production,
[00:04:22.920 --> 00:04:29.920]   or the weather person was just looking at a green screen and waving about
[00:04:29.920 --> 00:04:33.720]   and on TV it would appear as if there was a map,
[00:04:33.720 --> 00:04:37.320]   but the person himself wasn't actually seeing the map that they were waving at,
[00:04:37.320 --> 00:04:39.920]   which could lead to confusion,
[00:04:39.920 --> 00:04:44.320]   but there to be able to do that they would have to segment the foreground from the background.
[00:04:44.320 --> 00:04:48.120]   They would cut out the person and leave the green background out.
[00:04:48.120 --> 00:04:52.320]   They would select the interesting part, the foreground,
[00:04:52.320 --> 00:04:56.320]   and then separate it from the pixels, the points,
[00:04:56.320 --> 00:05:00.920]   the parts of the image that form the background.
[00:05:00.920 --> 00:05:05.320]   It can also be looking at an image, a medical image,
[00:05:05.320 --> 00:05:09.320]   and deciding what part might be a tumor
[00:05:09.320 --> 00:05:14.320]   and what part is just a normal image of a healthy human being.
[00:05:14.320 --> 00:05:18.320]   That's also foreground, background, separating in the interesting part.
[00:05:18.320 --> 00:05:21.320]   You hope there's no interesting part in that case,
[00:05:21.320 --> 00:05:23.320]   but it's separating that interesting part,
[00:05:23.320 --> 00:05:28.320]   the part you want to look at carefully from the normal stuff, the background.
[00:05:28.320 --> 00:05:31.320]   We look at that kind of two-class segmentation,
[00:05:31.320 --> 00:05:34.320]   segmenting in foreground and background.
[00:05:34.320 --> 00:05:41.320]   There are many more general or more advanced versions of this problem also.
[00:05:41.320 --> 00:05:46.320]   Most recently, MetaLabs came out with Segment Anything,
[00:05:46.320 --> 00:05:52.320]   which is a very advanced way of generating segmentations in images
[00:05:52.320 --> 00:05:56.320]   based on a ton of training data and so on and so on.
[00:05:56.320 --> 00:06:01.320]   Throughout the lectures, we won't go too deep into that, these most modern methods,
[00:06:01.320 --> 00:06:07.320]   but we will at the end talk a little bit about convolutional neural networks.
[00:06:07.320 --> 00:06:14.320]   All of these neural network-based, AI-based methods that you see these days,
[00:06:14.320 --> 00:06:21.320]   however, everything you'll see in this lecture is actually relevant
[00:06:21.320 --> 00:06:23.320]   to build up these networks and all of those things.
[00:06:23.320 --> 00:06:29.320]   You'll see really in this lecture the basis that then allows you to not just run a few scripts
[00:06:29.320 --> 00:06:32.320]   and try out some cool neural net demos or so,
[00:06:32.320 --> 00:06:39.320]   but you'll actually learn how those computer vision, convolutional neural networks
[00:06:39.320 --> 00:06:44.320]   and other type of things that kind of grant basis layers for that,
[00:06:44.320 --> 00:06:46.320]   the basic image processing steps.
[00:06:46.320 --> 00:06:51.320]   Many of the image processing steps that we'll see throughout the lecture
[00:06:51.320 --> 00:06:57.320]   actually come together in our all present in one form or the other
[00:06:57.320 --> 00:07:01.320]   in many of those more modern methods then.
[00:07:01.320 --> 00:07:07.320]   After segmentation and then also a little bit of morphology,
[00:07:07.320 --> 00:07:16.320]   which is mostly related to looking at if you have a particular point in the image,
[00:07:16.320 --> 00:07:21.320]   which we'll call pixels like pixel element, picture element.
[00:07:21.320 --> 00:07:25.320]   It's the atom, let's say, of which you construct images.
[00:07:25.320 --> 00:07:31.320]   It's point measurements of the quantity, for example, the light that we're interested in.
[00:07:31.320 --> 00:07:38.320]   It's that an image is not just a random assembly of those picture elements,
[00:07:38.320 --> 00:07:40.320]   but they actually have a structure.
[00:07:40.320 --> 00:07:45.320]   A pixel has a well-defined neighborhood of pixels that are next to it,
[00:07:45.320 --> 00:07:47.320]   and there might be some relationship.
[00:07:47.320 --> 00:07:53.320]   We might say, well, if this pixel was not part of a segmentation,
[00:07:53.320 --> 00:07:57.320]   but all the neighbors are part of, then we might decide that we flip that pixel over
[00:07:57.320 --> 00:07:59.320]   to be also part of the segmentation.
[00:07:59.320 --> 00:08:03.320]   These type of processes that are kind of based on neighborhoods and so on,
[00:08:03.320 --> 00:08:05.320]   we'll briefly look at that.
[00:08:05.320 --> 00:08:11.320]   After that, we'll come to convolutions,
[00:08:11.320 --> 00:08:15.320]   which also, for example, here at the base of convolutional neural nets,
[00:08:15.320 --> 00:08:19.320]   one of the key elements in it.
[00:08:19.320 --> 00:08:25.320]   So convolutions are, we'll also then, you know,
[00:08:25.320 --> 00:08:30.320]   convolutions and free transforms and filters, all of these belong together.
[00:08:30.320 --> 00:08:42.320]   Convolutions are the, when you look at a particular pixel element in the image,
[00:08:42.320 --> 00:08:46.320]   you would also look at its neighborhood and you would generate a function
[00:08:46.320 --> 00:08:55.320]   that somehow combines, you know, it would, so it's, you know,
[00:08:55.320 --> 00:08:58.320]   I won't explain it now in detail or so, but it's essentially the type of process
[00:08:58.320 --> 00:09:03.320]   that allows you to, for example, model an image, if you start from an image,
[00:09:03.320 --> 00:09:08.320]   and you, you know, there's a process that would blur the image, for example, right?
[00:09:08.320 --> 00:09:12.320]   Physically, that would happen by, for example, you know, putting,
[00:09:12.320 --> 00:09:17.320]   if your lens is out of focus, then the light that's supposed to land on a single,
[00:09:17.320 --> 00:09:22.320]   at a single point and give a sharp image, if your lens is slightly out of focus,
[00:09:22.320 --> 00:09:25.320]   that light would actually end up not landing where it's supposed to be,
[00:09:25.320 --> 00:09:27.320]   but be spread out a little bit.
[00:09:27.320 --> 00:09:31.320]   The process of convolution and so on is actually going to model mathematically
[00:09:31.320 --> 00:09:36.320]   that process of taking a part of the image and distributing it, you know,
[00:09:36.320 --> 00:09:41.320]   like to other pixels in the image and create a new image, so it's a function on an image,
[00:09:41.320 --> 00:09:44.320]   let's say the sharp image, that goes to the unsharp image,
[00:09:44.320 --> 00:09:47.320]   that can be modeled mathematically with this process.
[00:09:47.320 --> 00:09:50.320]   You can actually also do the reverse process and do a sharpening filter.
[00:09:50.320 --> 00:09:55.320]   So these actually all correspond to, to how we implement filters on images.
[00:09:55.320 --> 00:10:00.320]   So we'll look at, in detail at that, we'll actually learn a new language
[00:10:00.320 --> 00:10:07.320]   or a new transformation, because it will turn out that if we look in detail at all those filters
[00:10:07.320 --> 00:10:13.320]   and what those linear filtering operations come, you know, like do,
[00:10:13.320 --> 00:10:18.320]   there are sometimes strange behaviors, in particular also if we look at the images
[00:10:18.320 --> 00:10:21.320]   that consist of samples and we do filters and so on,
[00:10:21.320 --> 00:10:28.320]   there will be a number of, you know, complicated behaviors that are hard to understand
[00:10:28.320 --> 00:10:33.320]   if we just look at the image pixel by pixel, point by point.
[00:10:33.320 --> 00:10:37.320]   However, if we transform it in an alternative representation,
[00:10:37.320 --> 00:10:42.320]   a representation that looks at the image more globally and essentially says,
[00:10:42.320 --> 00:10:47.320]   well, you know, this image on average, on average is pretty bright,
[00:10:47.320 --> 00:10:50.320]   it's mostly white with a few black pixels, okay,
[00:10:50.320 --> 00:10:55.320]   and then, you know, it has, you know, in terms of global structure,
[00:10:55.320 --> 00:11:00.320]   it has a few patterns that is kind of white and dark and white and dark and white and dark,
[00:11:00.320 --> 00:11:04.320]   so it has this kind of wave pattern that's kind of, you know,
[00:11:04.320 --> 00:11:09.320]   like vertical waves that have brighter and darker patches and so on.
[00:11:09.320 --> 00:11:14.320]   So essentially, we look at the language that describes these kind of global patterns in the image
[00:11:14.320 --> 00:11:17.320]   and we'll start describing images that way, okay,
[00:11:17.320 --> 00:11:19.320]   and you might wonder, why do we do this and so on?
[00:11:19.320 --> 00:11:22.320]   Well, it turns out that in that representation,
[00:11:22.320 --> 00:11:27.320]   some of these strange effects that show up when we manipulate digital images,
[00:11:27.320 --> 00:11:31.320]   when we sample digital images or re-sample digital images and so on,
[00:11:31.320 --> 00:11:35.320]   they all become pretty easy to understand in this alternative representation, okay?
[00:11:35.320 --> 00:11:38.320]   Also, some operations are more efficient in that representation.
[00:11:38.320 --> 00:11:44.320]   So that's the Fourier transform, which is just changing a basis from a point per point,
[00:11:44.320 --> 00:11:48.320]   you know, basis like x, y, z, for example, in 3D space.
[00:11:48.320 --> 00:11:53.320]   What we'll see is that an image basis actually images,
[00:11:53.320 --> 00:11:57.320]   something you learned in this lecture, this will probably be, I might be wrong,
