
[00:00:00.000 --> 00:00:03.480]   [MUSIC PLAYING]
[00:00:03.480 --> 00:00:10.840]   OK, good afternoon.
[00:00:10.840 --> 00:00:12.560]   First announcement next week.
[00:00:12.560 --> 00:00:14.360]   I will not be here.
[00:00:14.360 --> 00:00:18.240]   And one of my postdocs will teach instead of me, Zuri
[00:00:18.240 --> 00:00:19.880]   Abaur.
[00:00:19.880 --> 00:00:23.160]   So she will be teaching.
[00:00:23.160 --> 00:00:26.880]   OK, so we continue on segmentation.
[00:00:26.880 --> 00:00:28.760]   This is one of the main concepts we looked at.
[00:00:28.760 --> 00:00:34.280]   If we have segmentation, we try to tune a system
[00:00:34.280 --> 00:00:36.280]   to make the right decisions.
[00:00:36.280 --> 00:00:40.280]   In this case, the decision is segmenting a pixel in or out
[00:00:40.280 --> 00:00:43.320]   foreground or background.
[00:00:43.320 --> 00:00:48.760]   Typically, in most scenarios, we would want to operate
[00:00:48.760 --> 00:00:52.880]   in a situation where we label some images with ground truth.
[00:00:52.880 --> 00:00:56.160]   And so we have the answers for some data.
[00:00:56.160 --> 00:01:00.440]   And then we hope that by tuning parameters on that set of data,
[00:01:00.440 --> 00:01:04.760]   we will get good results on other incoming data,
[00:01:04.760 --> 00:01:07.040]   on new images.
[00:01:07.040 --> 00:01:10.280]   But hopefully, that our kind of have the same properties
[00:01:10.280 --> 00:01:13.720]   as the ones where we go through the effort of actually
[00:01:13.720 --> 00:01:19.040]   generating ground truth segmentations, for example.
[00:01:19.040 --> 00:01:25.240]   So key thing is we have ground truth, so positives and negative.
[00:01:25.240 --> 00:01:29.720]   And then we have our labelings, positive or negative,
[00:01:29.720 --> 00:01:32.440]   and a combination of a positive that
[00:01:32.440 --> 00:01:33.680]   should actually have been positive.
[00:01:33.680 --> 00:01:35.440]   That's a true positive.
[00:01:35.440 --> 00:01:38.680]   A positive that actually gets labeled negative.
[00:01:38.680 --> 00:01:41.320]   That's a false negative.
[00:01:41.320 --> 00:01:48.440]   And then same thing for false positives and true negatives.
[00:01:48.440 --> 00:01:49.760]   If you looked at the histograms here,
[00:01:49.760 --> 00:01:53.440]   we looked at it if we have overlapping distributions
[00:01:53.440 --> 00:01:57.320]   in our single feature we use for segmentation,
[00:01:57.320 --> 00:02:01.520]   then we will not be able to have a perfect system.
[00:02:01.520 --> 00:02:03.520]   We'll have to take errors into account.
[00:02:03.520 --> 00:02:07.360]   Our goal is somehow to choose our parameter in a way
[00:02:07.360 --> 00:02:10.440]   each of those crosses is one setting of our parameters
[00:02:10.440 --> 00:02:14.120]   to choose it such that we have the best possible result.
[00:02:14.120 --> 00:02:16.360]   And this was essentially clearly--
[00:02:16.360 --> 00:02:19.720]   as long as we go straight up--
[00:02:19.720 --> 00:02:21.160]   there's my cursor here.
[00:02:22.160 --> 00:02:23.160]   OK.
[00:02:23.160 --> 00:02:26.080]   I can find-- there it is.
[00:02:26.080 --> 00:02:28.240]   As long as we go straight up, of course, it's pure wind,
[00:02:28.240 --> 00:02:29.480]   so we do better.
[00:02:29.480 --> 00:02:32.200]   But at some point, we start making a trade-off here.
[00:02:32.200 --> 00:02:36.560]   And there it depends on the value of decisions on both sides,
[00:02:36.560 --> 00:02:38.560]   false positives and false negatives,
[00:02:38.560 --> 00:02:40.800]   the relative cost of those.
[00:02:40.800 --> 00:02:45.960]   Which operating points you would want to choose?
[00:02:45.960 --> 00:02:46.520]   OK.
[00:02:46.520 --> 00:02:51.400]   So now we'll start taking into account a little bit
[00:02:51.400 --> 00:02:52.680]   connectivity between pixels.
[00:02:52.680 --> 00:02:59.760]   So again, pixels are samples, they're not squares.
[00:02:59.760 --> 00:03:01.200]   So we often draw them as squares,
[00:03:01.200 --> 00:03:05.640]   but remember them as sampling points of this function.
[00:03:05.640 --> 00:03:10.600]   But essentially, we want to define what are neighbors--
[00:03:10.600 --> 00:03:13.680]   what are neighboring pixels--
[00:03:13.680 --> 00:03:15.680]   so that we can do neighboring operations
[00:03:15.680 --> 00:03:19.120]   decide, hey, this pixel should maybe look at its neighbors
[00:03:19.120 --> 00:03:19.920]   to make a decision.
[00:03:19.920 --> 00:03:24.520]   So we need to formally define what neighborhoods are.
[00:03:24.520 --> 00:03:27.800]   For example, one question would be,
[00:03:27.800 --> 00:03:33.240]   are dark pixels in this plot or in this picture here,
[00:03:33.240 --> 00:03:36.040]   are they connected or are they not connected?
[00:03:36.040 --> 00:03:39.560]   Clearly, the kind of complicated situation is this here.
[00:03:39.560 --> 00:03:41.960]   Do we consider this connected or not?
[00:03:41.960 --> 00:03:43.920]   So we want a formal definition.
[00:03:43.920 --> 00:03:47.600]   In particular, we can define four neighborhoods
[00:03:47.600 --> 00:03:48.520]   or eight neighborhoods.
[00:03:48.520 --> 00:03:50.600]   So we define which are the pixels that
[00:03:50.600 --> 00:03:54.040]   are neighbors of a particular pixel.
[00:03:54.040 --> 00:03:56.120]   And depending on the choice, it's a choice.
[00:03:56.120 --> 00:03:59.360]   Depending on the choice, the previous image here
[00:03:59.360 --> 00:04:01.920]   would be considered fully connected.
[00:04:01.920 --> 00:04:05.960]   So all the black pixels would be considered all connected,
[00:04:05.960 --> 00:04:10.080]   all forming one region, one connected region or not.
[00:04:11.080 --> 00:04:11.580]   OK?
[00:04:11.580 --> 00:04:18.360]   So we'll define also formally a pixel path.
[00:04:18.360 --> 00:04:21.760]   As a four connected path between pixels p1 and pn
[00:04:21.760 --> 00:04:25.200]   is a set of pixels p1, p2, and pn,
[00:04:25.200 --> 00:04:31.640]   such that pi is a four neighbor of pi plus 1.
[00:04:31.640 --> 00:04:32.400]   So that's a path.
[00:04:32.400 --> 00:04:34.280]   And then, of course, the four eight connected path
[00:04:34.280 --> 00:04:38.040]   is the same definition, but now with the eight neighborhood.
[00:04:38.040 --> 00:04:40.920]   And in that context, we can define connected regions
[00:04:40.920 --> 00:04:44.120]   as long as a region is four connected
[00:04:44.120 --> 00:04:47.840]   if it contains a connected path between any two pixels
[00:04:47.840 --> 00:04:48.880]   in the region.
[00:04:48.880 --> 00:04:55.240]   Then it's a connected region and the same four eight connected.
[00:04:55.240 --> 00:05:02.720]   So coming back to this, with the four neighborhood,
[00:05:02.720 --> 00:05:05.840]   this would be two regions.
[00:05:05.840 --> 00:05:07.440]   With the eight neighborhood, this
