
[00:00:00.000 --> 00:00:02.080]   (audience murmuring)
[00:00:02.080 --> 00:00:03.040]   Excuse me.
[00:00:03.040 --> 00:00:05.600]   Let's start the class.
[00:00:05.600 --> 00:00:09.360]   Okay, well I'm covering from Professor Mark Poliface
[00:00:09.360 --> 00:00:11.320]   because he is on a conference.
[00:00:11.320 --> 00:00:14.040]   And well, we are going to do today convolutions
[00:00:14.040 --> 00:00:15.480]   and filtering.
[00:00:15.480 --> 00:00:20.120]   So basically a small recap of what you did last week
[00:00:20.120 --> 00:00:21.560]   as far as he told me.
[00:00:21.560 --> 00:00:24.440]   You did segmentation, so you basically learned
[00:00:24.440 --> 00:00:27.200]   to do foreground and background segmentation
[00:00:27.200 --> 00:00:30.320]   and based to evaluate it with Rock Curve.
[00:00:30.320 --> 00:00:34.120]   Basically if you don't remember something of this,
[00:00:34.120 --> 00:00:38.360]   please look it up since you will have the practice classes.
[00:00:38.360 --> 00:00:41.000]   So I would recommend to look that
[00:00:41.000 --> 00:00:42.400]   because it's really important.
[00:00:42.400 --> 00:00:46.440]   Okay, so let's start.
[00:00:46.440 --> 00:00:49.240]   What is image filtering?
[00:00:49.240 --> 00:00:51.520]   So basically the definition of image filtering
[00:00:51.520 --> 00:00:53.960]   could be the modification of pixels in an image
[00:00:53.960 --> 00:00:57.520]   based on some functions of a local neighborhood of the pixels.
[00:00:57.520 --> 00:00:59.640]   So basically as you can see here,
[00:00:59.640 --> 00:01:01.200]   this is a local image data.
[00:01:01.200 --> 00:01:03.760]   So basically this is a random image.
[00:01:03.760 --> 00:01:06.200]   We are applying something on it
[00:01:06.200 --> 00:01:10.040]   which basically gives us a modified output with a seven.
[00:01:10.040 --> 00:01:11.560]   What is this something?
[00:01:11.560 --> 00:01:14.400]   So basically those are image filters.
[00:01:14.400 --> 00:01:17.160]   Okay, so basically one of the simplest types
[00:01:17.160 --> 00:01:20.960]   of image filters are line shift invariant filtering.
[00:01:20.960 --> 00:01:23.240]   What is line shift invariant filtering?
[00:01:23.240 --> 00:01:26.440]   Basically they are modified pixels
[00:01:26.440 --> 00:01:27.560]   based on the neighborhood.
[00:01:27.560 --> 00:01:29.880]   So if you have worked before with pixels,
[00:01:29.880 --> 00:01:32.880]   they are the ones that you have probably seen.
[00:01:32.880 --> 00:01:35.480]   They are as said the simplest ones.
[00:01:35.480 --> 00:01:38.560]   They are linear means, linear combination of neighbors,
[00:01:38.560 --> 00:01:39.640]   linear methods.
[00:01:39.640 --> 00:01:43.120]   Again, it's the simplest ones and how to apply.
[00:01:43.120 --> 00:01:46.000]   And basically, yeah, so they are shift invariant.
[00:01:46.000 --> 00:01:50.040]   Sorry, I had to run to get the adapter.
[00:01:50.040 --> 00:01:51.640]   So I'm kind of out of breath,
[00:01:51.640 --> 00:01:53.840]   but yeah, we'll get better.
[00:01:53.840 --> 00:01:56.200]   Okay, so basically they are shift invariant
[00:01:56.200 --> 00:01:58.240]   means doing the same for each pixel
[00:01:58.240 --> 00:02:00.560]   and basically for what they are used for.
[00:02:00.560 --> 00:02:02.400]   Basically you have applied them on images,
[00:02:02.400 --> 00:02:04.720]   so low level image processing,
[00:02:04.720 --> 00:02:07.040]   smoothing and noise reduction,
[00:02:07.040 --> 00:02:11.040]   sharpening and detecting or enhancing features.
[00:02:11.040 --> 00:02:14.560]   Okay, so basically how do we know it's a linear filter?
[00:02:14.560 --> 00:02:18.600]   Basically this equation has to be every time true.
[00:02:18.600 --> 00:02:21.440]   So basically a linear filter is every time
[00:02:21.440 --> 00:02:25.360]   for a constant alpha and beta for each of them,
[00:02:25.360 --> 00:02:29.120]   we need to basically be able to prove this equation.
[00:02:29.120 --> 00:02:32.260]   So if we separate them, this needs to be true.
[00:02:32.260 --> 00:02:36.720]   Okay, so basically you can see here,
[00:02:36.720 --> 00:02:38.720]   basically as an example of a linear operation
[00:02:38.720 --> 00:02:40.440]   is a weighted summation.
[00:02:40.440 --> 00:02:43.560]   So basically the output is the image filter
[00:02:43.560 --> 00:02:46.280]   on a linear image operation is the weighted sum
[00:02:46.280 --> 00:02:49.320]   of a constant alpha multiplied by the image
[00:02:49.320 --> 00:02:51.120]   on coordinates i and g.
[00:02:52.120 --> 00:02:57.120]   Okay, so basically you have here the equation,
[00:02:57.120 --> 00:02:59.880]   so basically k is the kernel,
[00:02:59.880 --> 00:03:01.520]   which is what we're going to multiply.
[00:03:01.520 --> 00:03:05.440]   It has normally a size on coordinate x and y
[00:03:05.440 --> 00:03:09.360]   and then we have the image on the coordinates i and j.
[00:03:09.360 --> 00:03:14.360]   Okay, so basically what's the important part out of this,
[00:03:14.360 --> 00:03:16.520]   it's basically they are shift invariant.
[00:03:16.520 --> 00:03:20.120]   So this basically means k does not depend on x and y,
[00:03:20.120 --> 00:03:23.800]   so it's always the same on the entire image.
[00:03:23.800 --> 00:03:25.320]   This is kind of the most important part,
[00:03:25.320 --> 00:03:28.440]   you need to kind of keep in mind for this.
[00:03:28.440 --> 00:03:30.880]   So let's start with basically image filters.
[00:03:30.880 --> 00:03:35.320]   We have first of all correlations.
[00:03:35.320 --> 00:03:37.400]   So an example template matching.
[00:03:37.400 --> 00:03:38.880]   So what is the correlation?
[00:03:38.880 --> 00:03:41.960]   Basically you can see here, we have our image
[00:03:41.960 --> 00:03:44.960]   with our coordinates j minus y, j and j plus one,
[00:03:44.960 --> 00:03:48.160]   which is the section we have decided to apply the filter.
[00:03:48.160 --> 00:03:50.720]   And then we have the coordinates on the horizontal,
[00:03:50.720 --> 00:03:53.720]   which is i minus one, i and i plus one.
[00:03:53.720 --> 00:03:55.880]   And this basically our correlation mask,
[00:03:55.880 --> 00:03:59.000]   which we are going to apply on that image.
[00:03:59.000 --> 00:04:03.800]   Does anyone know what, how this is going to look like,
[00:04:03.800 --> 00:04:05.200]   the correlation equation?
[00:04:05.200 --> 00:04:06.960]   Anyone?
[00:04:06.960 --> 00:04:10.680]   Nobody has any idea?
[00:04:10.680 --> 00:04:11.880]   Okay, that's great.
[00:04:11.880 --> 00:04:16.120]   So basically the first coordinate is going to be
[00:04:16.120 --> 00:04:18.880]   the correlation in position one one.
[00:04:18.880 --> 00:04:22.600]   And we're basically having the image in the position
[00:04:22.600 --> 00:04:25.120]   one minus one, j minus one.
[00:04:25.120 --> 00:04:27.640]   Does anyone can tell me what's the next term?
[00:04:27.640 --> 00:04:30.320]   Anyone?
[00:04:30.320 --> 00:04:35.120]   It's going to be a long class if you don't participate.
[00:04:35.120 --> 00:04:37.000]   I'm just letting you know.
[00:04:37.000 --> 00:04:41.160]   Well, so as it is obvious, the coordinate one two
[00:04:41.160 --> 00:04:43.360]   and the correlation, we have the image
[00:04:43.360 --> 00:04:47.680]   and basically the coordinate is j and i minus one.
[00:04:47.680 --> 00:04:48.520]   Next one.
[00:04:48.520 --> 00:04:56.880]   Exactly.
[00:04:56.880 --> 00:04:59.560]   Okay, so you got the gist out of it.
[00:04:59.560 --> 00:05:03.120]   So basically it's the summation of each of the positions
[00:05:03.120 --> 00:05:04.480]   here as you can see.
[00:05:04.480 --> 00:05:07.040]   So basically this is how we move over the image.
[00:05:07.040 --> 00:05:09.640]   There.
[00:05:09.640 --> 00:05:12.920]   So this is how basically the correlation on an applied
[00:05:12.920 --> 00:05:17.120]   three by three filter on an image is going to look.
[00:05:17.120 --> 00:05:19.840]   Okay, so this is kind of like logic until here.
[00:05:19.840 --> 00:05:21.800]   Everyone, everything's clear, right?
[00:05:21.800 --> 00:05:24.080]   Okay.
[00:05:24.080 --> 00:05:27.880]   Let's move to the next part.
[00:05:27.880 --> 00:05:31.720]   Basically, how do we say that in a mathematical formula?
[00:05:31.720 --> 00:05:35.160]   So basically the mathematical formula of a correlation is
[00:05:35.160 --> 00:05:38.160]   the linear operation is equal to a kernel,
[00:05:38.160 --> 00:05:40.840]   which is always the same on the entire image,
[00:05:40.840 --> 00:05:42.440]   correlation of an image.
[00:05:42.440 --> 00:05:44.760]   So basically what is the correlation?
[00:05:44.760 --> 00:05:48.680]   It's a summation of k and coordinates a and g
[00:05:48.680 --> 00:05:52.520]   and multiplied by the image in the coordinate x plus one,
[00:05:52.520 --> 00:05:53.600]   i plus j.
[00:05:53.600 --> 00:05:56.480]   And yeah, basically k is the weight
[00:05:56.480 --> 00:05:58.960]   and it's always constant.
[00:05:58.960 --> 00:06:01.040]   So okay, let's move to one of the examples.
[00:06:01.040 --> 00:06:03.360]   So basically, not the examples,
[00:06:03.360 --> 00:06:04.720]   we are doing now the opposite.
[00:06:04.720 --> 00:06:06.640]   So this is a convolution.
[00:06:06.640 --> 00:06:09.120]   Has anyone of you maybe worked with deep learning?
