
[00:00:00.000 --> 00:00:03.440]   Okay, so good afternoon.
[00:00:03.440 --> 00:00:07.760]   So today we'll continue with the Fourier transform.
[00:00:07.760 --> 00:00:11.600]   So let me dive in there.
[00:00:11.600 --> 00:00:16.260]   Maybe first, any questions from last week?
[00:00:16.260 --> 00:00:21.520]   Otherwise, we'll go through, sorry, from Tuesday.
[00:00:21.520 --> 00:00:25.160]   So anyways, we'll briefly go over what we saw.
[00:00:25.160 --> 00:00:29.800]   So we saw the definition of the Fourier transform,
[00:00:29.800 --> 00:00:33.000]   in particular in the continuous domain.
[00:00:33.000 --> 00:00:37.720]   So we essentially will transform,
[00:00:37.720 --> 00:00:40.280]   or the Fourier transform will transform
[00:00:40.280 --> 00:00:44.520]   the in our case, the two dimensional image space,
[00:00:44.520 --> 00:00:48.080]   where we directly talk about image locations.
[00:00:48.080 --> 00:00:49.760]   So X and Y represent
[00:00:49.760 --> 00:00:54.200]   specific image locations in a 2D image plane.
[00:00:54.200 --> 00:00:57.720]   And we essentially apply transformation.
[00:00:57.720 --> 00:00:59.760]   In a sense, we eliminate,
[00:00:59.760 --> 00:01:03.200]   we integrate over both the X and the Y,
[00:01:03.200 --> 00:01:06.080]   over the full two dimensional plane.
[00:01:06.080 --> 00:01:15.840]   We multiply the function with basis functions of the Fourier transform.
[00:01:15.840 --> 00:01:20.720]   Those basis functions are essentially in the continuous domain.
[00:01:20.720 --> 00:01:24.520]   They are continuous set of functions that are
[00:01:24.520 --> 00:01:28.800]   parameterized with also two parameters, U and V.
[00:01:28.800 --> 00:01:30.720]   That you see there.
[00:01:30.720 --> 00:01:34.040]   These exponential functions are actually
[00:01:34.040 --> 00:01:37.720]   a combination of a cosine and a sine.
[00:01:37.720 --> 00:01:39.640]   They are complex.
[00:01:39.640 --> 00:01:50.720]   So essentially, we go from an image would be typically real.
[00:01:50.720 --> 00:01:53.040]   We would assume it's a real function,
[00:01:53.040 --> 00:01:57.480]   but we transform it in complex numbers.
[00:01:57.480 --> 00:01:59.360]   And the reason really being that we would need
[00:01:59.360 --> 00:02:01.280]   this linear combination between cosine and
[00:02:01.280 --> 00:02:03.880]   sine to be expressed in kind of with single numbers,
[00:02:03.880 --> 00:02:06.760]   and being able to shift the phase just as
[00:02:06.760 --> 00:02:10.960]   a linear combination in our basis functions and so on.
[00:02:10.960 --> 00:02:14.280]   Here's a few example in a discrete case.
[00:02:14.280 --> 00:02:21.280]   In this case, just four basis functions in every direction in U and V.
[00:02:21.280 --> 00:02:28.800]   Essentially, zero, zero corresponds to putting a one here, zero, there.
[00:02:28.800 --> 00:02:36.240]   Which means that essentially, we get zero and zero.
[00:02:36.240 --> 00:02:37.240]   So we get zero and zero.
[00:02:37.240 --> 00:02:39.760]   So we get just a zero here and a zero there.
[00:02:39.760 --> 00:02:46.920]   So this zero here cosine of essentially zero is of course one.
[00:02:46.920 --> 00:02:51.640]   And here sine of zero is of course zero.
[00:02:51.640 --> 00:02:55.440]   So essentially in that case, we just have a constant flat,
[00:02:55.440 --> 00:02:58.760]   bright picture as our basis function.
[00:02:58.760 --> 00:03:01.160]   And then again, if we multiply that with the image,
[00:03:01.160 --> 00:03:06.400]   we just get the average image intensity up to normalization.
[00:03:06.400 --> 00:03:13.440]   The other ones essentially will be also the product of
[00:03:13.440 --> 00:03:15.480]   those basis functions with the image.
[00:03:15.480 --> 00:03:19.280]   In this case, different signs and cosines and then notice
[00:03:19.280 --> 00:03:22.640]   the orientation that changes depending on things.
[00:03:22.640 --> 00:03:28.480]   So here, this has actually no vertical or is essentially constant
[00:03:28.480 --> 00:03:29.760]   over the vertical direction,
[00:03:29.760 --> 00:03:34.080]   only varies in the horizontal direction and so on.
[00:03:34.080 --> 00:03:41.760]   We looked at a few key properties of the Fourier transform
[00:03:41.760 --> 00:03:43.120]   and of the Fourier transform pair.
[00:03:43.120 --> 00:03:46.000]   So Fourier transforms are linear.
[00:03:46.000 --> 00:03:49.520]   That means that if you have a multiple of a function or
[00:03:49.520 --> 00:03:53.800]   a linear combination of images, for example,
[00:03:53.800 --> 00:03:58.360]   then the output will be the same linear combination of the Fourier
[00:03:58.360 --> 00:04:04.560]   transforms of the original functions or the original images.
[00:04:04.560 --> 00:04:09.600]   There is its invertible, which we mostly conceptually just showed
[00:04:09.600 --> 00:04:15.560]   in the, as these are basis, if we look in the discrete domain,
[00:04:15.560 --> 00:04:16.880]   it's discrete basis.
[00:04:16.880 --> 00:04:19.680]   So we've seen it's both fully defined.
[00:04:19.680 --> 00:04:21.280]   We've seen the definition in a continuous domain,
[00:04:21.280 --> 00:04:26.520]   but essentially there's an equivalent summation in the discrete domain.
[00:04:26.520 --> 00:04:32.200]   There is simpler to understand the invertibility, for example.
[00:04:32.200 --> 00:04:37.400]   A key thing is, key properties, if we have smaller details,
[00:04:37.400 --> 00:04:41.000]   that actually corresponds to a higher frequency and therefore
[00:04:41.000 --> 00:04:44.480]   actually to things being spaced further apart in the Fourier domain.
[00:04:44.480 --> 00:04:48.560]   So it is kind of inverse relationship between the spatial domain
[00:04:48.560 --> 00:04:51.080]   where if we shrink things, we actually increase things,
[00:04:51.080 --> 00:04:55.080]   we space things further out in the frequency domain.
[00:04:55.080 --> 00:04:56.200]   And vice versa.
[00:04:56.200 --> 00:04:59.000]   If we space things out, things vary more slowly,
[00:04:59.000 --> 00:05:06.160]   then we actually are moving things closer together in the frequency domain.
[00:05:06.160 --> 00:05:11.880]   A very important function here, as in many other areas, is the Gaussian.
[00:05:11.880 --> 00:05:18.080]   So double exponential falloff function, the Fourier transform of a Gaussian
[00:05:18.080 --> 00:05:20.400]   is also a Gaussian.
[00:05:20.400 --> 00:05:23.000]   Of course, the property we just described above,
[00:05:23.000 --> 00:05:27.360]   if we make a wider Gaussian in the spatial domain,
[00:05:27.360 --> 00:05:31.320]   that actually goes for a finer Gaussian in the frequency domain.
[00:05:31.320 --> 00:05:34.320]   And vice versa.
[00:05:34.320 --> 00:05:44.080]   We can also compare it to kind of the simple function in the spatial domain here.
[00:05:44.080 --> 00:05:50.440]   One that's constant, up to a certain extent, and then force to zero, exactly to zero.
[00:05:50.440 --> 00:05:53.520]   So it's essentially as compact as possible, so it's constant,
[00:05:53.520 --> 00:05:56.520]   and then it's exactly to zero, so it's as compact as possible.
