
[00:00:00.000 --> 00:00:02.000]   Okay, good morning.
[00:00:02.000 --> 00:00:10.000]   So, this week we'll continue talking about transformations on images.
[00:00:10.000 --> 00:00:13.000]   So we saw last week the Fourier transform.
[00:00:13.000 --> 00:00:18.000]   We'll quickly go through some of that now,
[00:00:18.000 --> 00:00:25.000]   but we'll continue then with other types of transformations of images.
[00:00:25.000 --> 00:00:34.000]   And today we'll focus on transformations that, you know,
[00:00:34.000 --> 00:00:36.000]   so we'll focus on unitary transformations,
[00:00:36.000 --> 00:00:47.000]   so those are transformations that at some level are a change of basis in going from pixels.
[00:00:47.000 --> 00:00:50.000]   We went to the Fourier space, the frequency space.
[00:00:50.000 --> 00:00:58.000]   Here we'll look at this lecture more specifically at transformations that, you know,
[00:00:58.000 --> 00:01:09.000]   are aligned to a particular type of images that are specifically suited for solving some problems on a particular set of images.
[00:01:09.000 --> 00:01:17.000]   Then next week, sorry, on Thursday, we'll then finish that and continue with image representations,
[00:01:17.000 --> 00:01:24.000]   more generic image representations that are useful for compression of images,
[00:01:24.000 --> 00:01:30.000]   and so compressed image representations, specifically lossy compression.
[00:01:30.000 --> 00:01:36.000]   So where we can represent images in a way that they look the same to us, to our eyes,
[00:01:36.000 --> 00:01:40.000]   but actually, you know, need a lot less bits to represent.
[00:01:40.000 --> 00:01:45.000]   Okay, and so for that we'll also use several types of transformations.
[00:01:45.000 --> 00:01:49.000]   What did we see last week? Of course, first the Fourier transform,
[00:01:49.000 --> 00:01:56.000]   but then beyond that, on Thursday, we saw in particular the convolution theorem,
[00:01:56.000 --> 00:02:01.000]   again, very important for in two directions.
[00:02:01.000 --> 00:02:12.000]   So first, that a convolution in the image domain, in the spatial domain,
[00:02:12.000 --> 00:02:16.000]   corresponds to, once you go to the Fourier domain,
[00:02:16.000 --> 00:02:26.000]   corresponds simply to a frequency per frequency multiplication of the frequency content in the image
[00:02:26.000 --> 00:02:31.000]   with the equivalent frequency content, you know, the ratio of preservation
[00:02:31.000 --> 00:02:36.000]   and also, let's say, the shift in phase given by the filter.
[00:02:36.000 --> 00:02:42.000]   So instead of having to do a convolution over the whole image
[00:02:42.000 --> 00:02:49.000]   with your filter kernel and apply that, you know, kind of consistently over the whole image,
[00:02:49.000 --> 00:02:55.000]   here you can essentially just look at every frequency in isolation
[00:02:55.000 --> 00:02:57.000]   and look at what happens to this frequency.
[00:02:57.000 --> 00:03:00.000]   Oh, you know, I just get multiplied by this factor and so on.
[00:03:00.000 --> 00:03:05.000]   So essentially, we get a very simple view and understanding of filtering.
[00:03:05.000 --> 00:03:07.000]   We saw how we could use this.
[00:03:07.000 --> 00:03:10.000]   For example, in this case here, for image restoration,
[00:03:10.000 --> 00:03:15.000]   this is our kernel in the spatial domain.
[00:03:15.000 --> 00:03:19.000]   Sorry, this is our kernel in the frequency domain.
[00:03:19.000 --> 00:03:23.000]   This was the equivalent of a block function in the image space
[00:03:23.000 --> 00:03:29.000]   that would describe this blurring operation, motion blurring of horizontal motion.
[00:03:29.000 --> 00:03:33.000]   This was what happened to each frequency in the frequency domain,
[00:03:33.000 --> 00:03:36.000]   and then we can, as best as we can, invert that.
[00:03:36.000 --> 00:03:41.000]   Here it's really just looking at, okay, this function got multiplied by 0.2.
[00:03:41.000 --> 00:03:44.000]   Okay, now I'll multiply it by a factor of 5,
[00:03:44.000 --> 00:03:48.000]   and that will undo the effect of multiplying by 0.2.
[00:03:48.000 --> 00:03:54.000]   And so I determine this, and then I can do the inverse Fourier transform
[00:03:54.000 --> 00:03:59.000]   if I want the convolution filter that I would apply in the spatial domain.
[00:03:59.000 --> 00:04:02.000]   So that's this filtering operation.
[00:04:02.000 --> 00:04:06.000]   We can now do that because the convolution term tells us that it's very simple.
[00:04:06.000 --> 00:04:09.000]   That's the product, and then we can use the product here
[00:04:09.000 --> 00:04:12.000]   because that's easy, one over is kind of easy.
[00:04:12.000 --> 00:04:15.000]   Of course, with the caveat that if it's, you know,
[00:04:15.000 --> 00:04:17.000]   the 0 divided by 0 is, you know,
[00:04:17.000 --> 00:04:20.000]   the divide by 0 cannot be undone,
[00:04:20.000 --> 00:04:25.000]   so we needed some tricks to avoid blowing up noise in those situations.
[00:04:25.000 --> 00:04:27.000]   Okay?
[00:04:27.000 --> 00:04:29.000]   Then the second one,
[00:04:29.000 --> 00:04:33.000]   the second part of the convolution theorem, the reverse way,
[00:04:33.000 --> 00:04:39.000]   is essentially something we use to mathematically represent sampling,
[00:04:39.000 --> 00:04:41.000]   sampling operations.
[00:04:41.000 --> 00:04:46.000]   In particular, in the spatial domain, we do now a product of two functions.
[00:04:46.000 --> 00:04:50.000]   We had to work out a special function, a delta function,
[00:04:50.000 --> 00:04:53.000]   which again is a function that is 0 everywhere,
[00:04:53.000 --> 00:04:56.000]   except taking exactly one point,
[00:04:56.000 --> 00:04:59.000]   but it's determined in such a way,
[00:04:59.000 --> 00:05:02.000]   the size of that peak at that point is determined in such a way
[00:05:02.000 --> 00:05:05.000]   that the integral of that function is equal to 1.
[00:05:05.000 --> 00:05:07.000]   Okay?
[00:05:07.000 --> 00:05:10.000]   That allows us to measure in exactly one location or function,
[00:05:10.000 --> 00:05:12.000]   and then we can actually have a whole train of those,
[00:05:12.000 --> 00:05:16.000]   you know, a whole periodic repetition of those in 1D or in two dimensions,
[00:05:16.000 --> 00:05:18.000]   or in three dimensions if we would, you know,
[00:05:18.000 --> 00:05:22.000]   work in three-dimensional spaces like for medical imaging.
[00:05:22.000 --> 00:05:26.000]   So, for example, in two dimensions, we have all these repeated peaks,
[00:05:26.000 --> 00:05:29.000]   which each individually measure exactly one location,
[00:05:29.000 --> 00:05:31.000]   the function value at exactly one location.
[00:05:31.000 --> 00:05:34.000]   You can observe it by doing the integral,
[00:05:34.000 --> 00:05:40.000]   and do the product of that sampling function with the actual function,
[00:05:40.000 --> 00:05:43.000]   which would rescale the delta function to have an integral now equal
[00:05:43.000 --> 00:05:46.000]   to the function value at exactly that location.
[00:05:46.000 --> 00:05:48.000]   Okay?
[00:05:48.000 --> 00:05:51.000]   So, we can model things that way in a way that we can actually
[00:05:51.000 --> 00:05:55.000]   properly execute the Fourier transform,
[00:05:55.000 --> 00:05:57.000]   because the Fourier transform is based on integrals
[00:05:57.000 --> 00:06:02.000]   of the product of the function with the Fourier basis,
[00:06:02.000 --> 00:06:04.000]   and then do the integral.
[00:06:04.000 --> 00:06:07.000]   So, we can properly model this in the continuous domain
[00:06:07.000 --> 00:06:09.000]   and end up with a discrete representation,
[00:06:09.000 --> 00:06:13.000]   and we see that essentially what happens, you know,
[00:06:13.000 --> 00:06:15.000]   the phenomena like aliasing and so on,
[00:06:15.000 --> 00:06:19.000]   that happen when we do this, when we do sampling,
[00:06:19.000 --> 00:06:23.000]   we can actually now nicely model them going from the continuous domain
[00:06:23.000 --> 00:06:27.000]   to the discrete domain, and having aliasing phenomena and so on show up.
[00:06:27.000 --> 00:06:31.000]   We can understand this now very easily by having the convolutions
[00:06:31.000 --> 00:06:34.000]   of the sampling function.
[00:06:34.000 --> 00:06:37.000]   So, the product of the sampling function, the spatial domain,
[00:06:37.000 --> 00:06:41.000]   becomes a convolution of the sampling function transformed
[00:06:41.000 --> 00:06:44.000]   in the Fourier domain, and the actual signal function,
[00:06:44.000 --> 00:06:47.000]   the one we cared about that we tried to sample,
[00:06:47.000 --> 00:06:49.000]   also transformed in the Fourier domain,
[00:06:49.000 --> 00:06:51.000]   and we have a convolution of those.
[00:06:51.000 --> 00:06:55.000]   Remember this was where if the spectra,
[00:06:55.000 --> 00:06:57.000]   which typically have a lot of low frequency,
[00:06:57.000 --> 00:06:59.000]   but then have also some high frequencies,
[00:06:59.000 --> 00:07:03.000]   if those spectra, as we convolve them with these spikes,
[00:07:03.000 --> 00:07:06.000]   again the Fourier transform of this spike train,
[00:07:06.000 --> 00:07:09.000]   or spike bed kind of all these peaks,
[00:07:09.000 --> 00:07:13.000]   the Fourier transform of that was also essentially a set of these peaks
[00:07:13.000 --> 00:07:17.000]   in the Fourier domain, and the closer we put them together
[00:07:17.000 --> 00:07:22.000]   in one in the spatial domain, the further apart they were in the frequency domain,
[00:07:22.000 --> 00:07:25.000]   when they're far apart, those copies of these blobs
[00:07:25.000 --> 00:07:29.000]   that represent the signal are far enough apart that they don't overlap,
[00:07:29.000 --> 00:07:33.000]   but if you sample not fast enough in the spatial domain,
[00:07:33.000 --> 00:07:36.000]   you move things farther apart, you sample in the spatial domain,
[00:07:36.000 --> 00:07:39.000]   it means that in a frequency domain they come closer together,
[00:07:39.000 --> 00:07:42.000]   and then these things start overlapping,
[00:07:42.000 --> 00:07:48.000]   the signals start overlapping with its copy kind of coming over from the sampling function,
[00:07:48.000 --> 00:07:53.000]   and then you get essentially, this is what you see here,
[00:07:53.000 --> 00:07:55.000]   then you would have, if you don't do things properly,
[00:07:55.000 --> 00:07:57.000]   those things would overlap, they would add up,
[00:07:57.000 --> 00:08:01.000]   and then when you try to filter away things,
[00:08:01.000 --> 00:08:04.000]   you would be left with essentially a mess here
[00:08:04.000 --> 00:08:06.000]   because you have part of the signal overlapping here,
[00:08:06.000 --> 00:08:10.000]   and you get a blend, and you get some high frequencies that show up as low frequencies
[00:08:10.000 --> 00:08:14.000]   after your filtering operation, after your reconstruction operation essentially.
[00:08:14.000 --> 00:08:18.000]   So that's why the second part, there is sampling,
[00:08:18.000 --> 00:08:22.000]   the convolution term in the other direction is important for us,
[00:08:22.000 --> 00:08:25.000]   very quickly the digital processing pipeline,
